Region,Subregion,Retailer,Suma de Stores
Southern,South West,Lidl,1
Southern,South West,Lidl,1
Eastern & Midland,Dublin,Aldi,1
Eastern & Midland,Dublin,Aldi,1
Eastern & Midland,Dublin,Aldi,1
Eastern & Midland,Dublin,Aldi,1
Eastern & Midland,Dublin,Aldi,1
Eastern & Midland,Dublin,Aldi,1
Eastern & Midland,Dublin,Aldi,1
Eastern & Midland,Dublin,Aldi,1
Eastern & Midland,Dublin,Aldi,1
Eastern & Midland,Dublin,Aldi,1
Eastern & Midland,Dublin,Aldi,1
Eastern & Midland,Dublin,Aldi,1
Eastern & Midland,Dublin,Aldi,1
Eastern & Midland,Dublin,Aldi,1
Eastern & Midland,Dublin,Aldi,1
Eastern & Midland,Dublin,Aldi,1
Eastern & Midland,Dublin,Aldi,1
Eastern & Midland,Dublin,Aldi,1
Eastern & Midland,Dublin,Aldi,1
Eastern & Midland,Dublin,Aldi,1
Eastern & Midland,Dublin,Aldi,1
Eastern & Midland,Dublin,Aldi,1
Eastern & Midland,Dublin,Aldi,1
Eastern & Midland,Dublin,Aldi,1
Eastern & Midland,Dublin,Aldi,1
