Housing_or_CommNotices,County,Region,Subregion,Year,Value
Commencement Notices,Tipperary,Southern,Mid West,2018,657
Commencement Notices,Waterford,Southern,South East,2018,707
Commencement Notices,Westmeath,Eastern & Midland,Midland,2018,605
Commencement Notices,Wexford,Southern,South East,2018,1172
Commencement Notices,Wicklow,Eastern & Midland,Mid East,2018,1576
Commencement Notices,Mayo,Northern & Western,West,2019,959
Commencement Notices,Carlow,Southern,South East,2019,515
Commencement Notices,Cavan,Northern & Western,Border,2019,357
Commencement Notices,Clare,Southern,Mid West,2019,902
Commencement Notices,Cork,Southern,South West,2019,4782
Commencement Notices,Donegal,Northern & Western,Border,2019,950
Commencement Notices,Dublin,Eastern & Midland,Dublin,2019,9959
Commencement Notices,Galway,Northern & Western,West,2019,2147
Commencement Notices,Kerry,Southern,South West,2019,947
Commencement Notices,Kildare,Eastern & Midland,Mid East,2019,2980
Commencement Notices,Kilkenny,Southern,South East,2019,722
Commencement Notices,Laois,Eastern & Midland,Midland,2019,650
Commencement Notices,Leitrim,Northern & Western,Border,2019,82
Commencement Notices,Limerick,Southern,Mid West,2019,955
Commencement Notices,Longford,Eastern & Midland,Midland,2019,260
Commencement Notices,Louth,Eastern & Midland,Mid East,2019,1217
Commencement Notices,Meath,Eastern & Midland,Mid East,2019,2744
Commencement Notices,Monaghan,Northern & Western,Border,2019,507
Commencement Notices,Offaly,Eastern & Midland,Midland,2019,522
Commencement Notices,Roscommon,Northern & Western,West,2019,436
Commencement Notices,Sligo,Northern & Western,Border,2019,242
Commencement Notices,Tipperary,Southern,Mid West,2019,604
Commencement Notices,Waterford,Southern,South East,2019,1025
Commencement Notices,Westmeath,Eastern & Midland,Midland,2019,584
Commencement Notices,Wexford,Southern,South East,2019,1197
Commencement Notices,Wicklow,Eastern & Midland,Mid East,2019,1241
Commencement Notices,Mayo,Northern & Western,West,2020,802
Commencement Notices,Carlow,Southern,South East,2020,289
Commencement Notices,Cavan,Northern & Western,Border,2020,364
Commencement Notices,Clare,Southern,Mid West,2020,780
Commencement Notices,Cork,Southern,South West,2020,3374
Commencement Notices,Donegal,Northern & Western,Border,2020,925
Commencement Notices,Dublin,Eastern & Midland,Dublin,2020,8955
Commencement Notices,Galway,Northern & Western,West,2020,1870
Commencement Notices,Kerry,Southern,South West,2020,849
Commencement Notices,Kildare,Eastern & Midland,Mid East,2020,2098
Commencement Notices,Kilkenny,Southern,South East,2020,723
Commencement Notices,Laois,Eastern & Midland,Midland,2020,599
Commencement Notices,Leitrim,Northern & Western,Border,2020,131
Commencement Notices,Limerick,Southern,Mid West,2020,986
Commencement Notices,Longford,Eastern & Midland,Midland,2020,200
Commencement Notices,Louth,Eastern & Midland,Mid East,2020,1110
Commencement Notices,Meath,Eastern & Midland,Mid East,2020,1565
Commencement Notices,Monaghan,Northern & Western,Border,2020,568
Commencement Notices,Offaly,Eastern & Midland,Midland,2020,547
Commencement Notices,Roscommon,Northern & Western,West,2020,319
Commencement Notices,Sligo,Northern & Western,Border,2020,313
Commencement Notices,Tipperary,Southern,Mid West,2020,543
Commencement Notices,Waterford,Southern,South East,2020,712
Commencement Notices,Westmeath,Eastern & Midland,Midland,2020,442
Commencement Notices,Wexford,Southern,South East,2020,1126
Commencement Notices,Wicklow,Eastern & Midland,Mid East,2020,1146
Commencement Notices,Mayo,Northern & Western,West,2021,54
Commencement Notices,Carlow,Southern,South East,2021,39
Commencement Notices,Cavan,Northern & Western,Border,2021,28
Commencement Notices,Clare,Southern,Mid West,2021,90
Commencement Notices,Cork,Southern,South West,2021,382
Commencement Notices,Donegal,Northern & Western,Border,2021,87
Commencement Notices,Dublin,Eastern & Midland,Dublin,2021,235
Commencement Notices,Galway,Northern & Western,West,2021,193
Commencement Notices,Kerry,Southern,South West,2021,100
Commencement Notices,Kildare,Eastern & Midland,Mid East,2021,182
Commencement Notices,Kilkenny,Southern,South East,2021,36
Commencement Notices,Laois,Eastern & Midland,Midland,2021,50
Commencement Notices,Leitrim,Northern & Western,Border,2021,15
